São Paulo,1,4,50,25,14,8,3,36,19,17,66.7,8
Internacional,2,4,49,25,14,7,4,32,15,17,65.3,8
Palmeiras,3,4,47,25,13,8,4,37,17,20,62.7,11
Flamengo,4,4,45,25,13,6,6,36,21,15,60,5
Grêmio,5,3,44,25,12,8,5,31,12,19,58.7,7
Atlético-MG,6,3,42,25,12,6,7,41,29,12,56,8
Cruzeiro,7,2,34,25,8,10,7,19,19,0,45.3,7
Corinthians,8,2,33,25,9,6,10,27,22,5,44,7
Santos,9,2,32,24,8,8,8,28,23,5,44.4,11
Fluminense,10,2,31,25,8,7,10,24,30,-6,41.3,5
Atlético-PR,11,2,30,25,8,6,11,30,28,2,40,6
América-MG,12,2,30,25,8,6,11,24,29,-5,40,5
Vitória,13,1,29,25,8,5,12,23,42,-19,38.7,10
Bahia,14,1,29,25,7,8,10,25,30,-5,38.7,7
Botafogo,15,1,29,25,7,8,10,22,33,-11,38.7,7
Chapecoense,16,1,28,25,6,10,9,26,36,-10,37.3,7
Ceará,17,0,27,25,6,9,10,17,25,-8,36,10
Vasco,18,0,25,24,6,7,11,27,36,-9,34.7,1
Sport,19,0,24,25,6,6,13,21,38,-17,32,4
Paraná,20,0,16,25,3,7,15,11,33,-22,21.3,1
