Sampaio Corrêa,Figueirense,1,0,0,95.4427,0,4.5573
Criciúma,Oeste,1,0,0,97.9376,2.0624,0
Goiás,Londrina,0,0,1,37.0779,0,62.9221
CSA,Paysandu,0,1,0,0,54.9903,45.0097
São Bento,Guarani,1,0,0,80.5903,19.4097,0
Brasil de Pelotas,Fortaleza,1,0,0,97.4843,2.5157,0
Avaí,Boa Esporte,0,1,0,0,57.4308,42.5692
Coritiba,Juventude,0,0,1,48.5467,0,51.4533
Atlético-GO,Vila Nova,1,0,0,68.3929,0,31.6071
Ponte Preta,CRB,0,1,0,0,60.1672,39.8328
Paysandu,CRB,1,0,0,86.9059,0,13.0941
Criciúma,Brasil de Pelotas,1,0,0,77.875,0,22.125
Juventude,Goiás,0,1,0,0,70.425,29.575
Atlético-GO,Sampaio Corrêa,0,0,1,16.7578,0,83.2422
CSA,Ponte Preta,1,0,0,69.8612,0,30.1388
Guarani,Avaí,1,0,0,75.1567,0,24.8433
Oeste,Fortaleza,1,0,0,85.3401,0,14.6599
Vila Nova,Boa Esporte,0,1,0,0,55.2744,44.7256
Figueirense,Coritiba,0,1,0,0,54.0736,45.9264
Londrina,São Bento,1,0,0,71.8129,0,28.1871
Coritiba,CSA,1,0,0,86.8617,0,13.1383
Brasil de Pelotas,Atlético-GO,0,1,0,18.4191,81.5809,0
CRB,Goiás,0,1,0,0,70.9094,29.0906
São Bento,Criciúma,0,1,0,0,57.0002,42.9998
Ponte Preta,Figueirense,0,1,0,0,66.0093,33.9907
Avaí,Oeste,0,1,0,0,60.1672,39.8328
Vila Nova,Juventude,0,1,0,0,58.2106,41.7894
Boa Esporte,Guarani,1,0,0,84.4467,0,15.5533
Fortaleza,Paysandu,0,1,0,0,54.7964,45.2036
Sampaio Corrêa,Londrina,1,0,0,88.2032,11.7968,0
CSA,Brasil de Pelotas,0,0,1,0,45.8821,54.1179
Fortaleza,Ponte Preta,1,0,0,59.1651,0,40.8349
Goiás,Avaí,1,0,0,73.4127,0,26.5873
São Bento,CRB,0,1,0,0,77.0225,22.9775
Londrina,Vila Nova,1,0,0,84.8606,0,15.1394
Guarani,Oeste,0,1,0,0,60.7484,39.2516
Figueirense,Criciúma,0,1,0,0,51.8404,48.1596
Boa Esporte,Atlético-GO,1,0,0,61.8355,38.1645,0
Paysandu,Coritiba,1,0,0,82.2183,0,17.7817
Juventude,Sampaio Corrêa,0,0,1,0,48.9891,51.0109
Criciúma,Goiás,1,0,0,72.3091,27.6909,0
Juventude,Brasil de Pelotas,0,0,1,0,28.1526,71.8474
Vila Nova,Paysandu,0,1,0,0,58.1799,41.8201
Oeste,Figueirense,1,0,0,85.2028,0,14.7972
Sampaio Corrêa,CSA,1,0,0,97.1435,0,2.8565
Avaí,Londrina,0,1,0,0,57.6147,42.3853
CRB,Boa Esporte,0,0,1,0,48.489,51.511
Atlético-GO,Fortaleza,1,0,0,77.913,0,22.087
Coritiba,Guarani,1,0,0,76.1105,0,23.8895
Ponte Preta,São Bento,0,1,0,0,55.8314,44.1686
Goiás,Sampaio Corrêa,0,0,1,14.5099,0,85.4901
Brasil de Pelotas,Vila Nova,1,0,0,97.2748,2.7252,0
Atlético-GO,Avaí,1,0,0,72.459,0,27.541
Londrina,Criciúma,0,1,0,0,51.9499,48.0501
Ponte Preta,Boa Esporte,0,1,0,0,57.4514,42.5486
São Bento,Coritiba,0,1,0,0,84.4524,15.5476
Figueirense,Guarani,0,0,1,0,39.8054,60.1946
Fortaleza,CSA,0,1,0,0,54.3973,45.6027
CRB,Juventude,1,0,0,63.9102,0,36.0898
Paysandu,Oeste,1,0,0,84.6383,0,15.3617
Coritiba,Goiás,0,1,0,0,68.0425,31.9575
Juventude,Ponte Preta,1,0,0,76.1164,0,23.8836
Boa Esporte,Brasil de Pelotas,1,0,0,68.7259,0,31.2741
Avaí,Fortaleza,0,1,0,0,70.7544,29.2456
Oeste,Londrina,0,0,1,0,45.644,54.356
Criciúma,CRB,1,0,0,92.0443,7.9557,0
Vila Nova,Figueirense,1,0,0,79.4202,20.5798,0
Sampaio Corrêa,São Bento,1,0,0,76.3748,0,23.6252
CSA,Atlético-GO,0,1,0,0,60.499,39.501
Guarani,Paysandu,0,1,0,0,57.7823,42.2177
Ponte Preta,Coritiba,0,1,0,0,59.9733,40.0267
Oeste,Goiás,0,1,0,0,64.9423,35.0577
Brasil de Pelotas,Guarani,1,0,0,97.9831,2.0169,0
Figueirense,Paysandu,0,1,0,0,54.8563,45.1437
Fortaleza,Juventude,0,1,0,0,53.2148,46.7852
Vila Nova,Criciúma,0,1,0,0,53.713,46.287
Atlético-GO,São Bento,1,0,0,58.6017,0,41.3983
CSA,Avaí,1,0,0,71.0812,0,28.9188
Londrina,CRB,1,0,0,69.1078,30.8922,0
Sampaio Corrêa,Boa Esporte,0,1,0,0,62.9445,37.0555
Guarani,Londrina,0,1,0,0,54.6491,45.3509
São Bento,Vila Nova,1,0,0,77.0585,22.9415,0
Juventude,CSA,1,0,0,92.4818,0,7.5182
Avaí,Ponte Preta,0,1,0,0,57.1614,42.8386
Criciúma,Sampaio Corrêa,1,0,0,88.0729,0,11.9271
Coritiba,Fortaleza,1,0,0,86.4913,0,13.5087
Goiás,Brasil de Pelotas,0,0,1,44.984,0,55.016
Boa Esporte,Oeste,1,0,0,97.5744,0,2.4256
CRB,Figueirense,1,0,0,84.1535,0,15.8465
Paysandu,Atlético-GO,1,0,0,61.1886,38.8114,0
