São Paulo,1,4,51,26,14,9,3,37,20,17,65.4,6
Palmeiras,2,4,50,26,14,8,4,38,17,21,64.1,13
Internacional,3,4,50,26,14,8,4,33,16,17,64.1,8
Flamengo,4,4,48,26,14,6,6,38,22,16,61.5,7
Grêmio,5,3,47,26,13,8,5,34,14,20,60.3,10
Atlético-MG,6,3,42,26,12,6,8,42,31,11,53.8,8
Cruzeiro,7,2,37,26,9,10,7,21,20,1,47.4,7
Corinthians,8,2,34,26,9,7,10,28,23,5,43.6,5
Fluminense,9,2,34,26,9,7,10,26,31,-5,43.6,8
Atlético-PR,10,2,33,26,9,6,11,33,28,5,42.3,6
Santos,11,2,33,26,8,9,9,30,26,4,42.3,6
Botafogo,12,2,32,26,8,8,10,26,36,-10,41,7
América-MG,13,1,31,26,8,7,11,25,30,-5,39.7,5
Vitória,14,1,29,26,8,5,13,26,46,-20,37.2,7
Bahia,15,1,29,26,7,8,11,26,32,-6,37.2,4
Vasco,16,1,29,26,7,8,11,30,38,-8,37.2,5
Chapecoense,17,0,28,26,6,10,10,27,38,-11,35.9,7
Ceará,18,0,27,26,6,9,11,19,28,-9,34.6,10
Sport,19,0,24,26,6,6,14,21,39,-18,30.8,4
Paraná,20,0,16,26,3,7,16,11,36,-25,20.5,1
