Fortaleza,1,4,47,27,14,5,8,39,27,12,58,4
CSA,2,4,46,27,13,7,7,38,29,9,56.8,9
Goiás,3,4,45,28,14,3,11,39,35,4,53.6,9
Atlético-GO,4,4,43,28,12,7,9,39,38,1,51.2,6
Vila Nova,5,3,43,27,11,10,6,26,18,8,53.1,11
Avaí,6,3,42,27,11,9,7,35,24,11,51.9,6
Guarani,7,2,41,27,11,8,8,35,29,6,50.6,6
Londrina,8,2,39,28,11,6,11,32,32,0,46.4,12
Ponte Preta,9,2,39,28,10,9,9,30,24,6,46.4,6
Figueirense,10,2,39,28,10,9,9,36,34,2,46.4,5
Coritiba,11,2,36,27,9,9,9,28,29,-1,44.4,6
Criciúma,12,2,35,27,9,8,10,29,32,-3,43.2,10
São Bento,13,1,35,27,8,11,8,28,28,0,43.2,10
Oeste,14,1,35,27,8,11,8,27,30,-3,43.2,5
Brasil de Pelotas,15,1,31,27,7,10,10,23,26,-3,38.3,7
Juventude,16,1,31,28,6,13,9,21,28,-7,36.9,4
Paysandu,17,0,30,27,7,9,11,26,35,-9,37,5
CRB,18,0,29,27,7,8,12,20,29,-9,35.8,4
Sampaio Corrêa,19,0,25,27,6,7,14,22,33,-11,30.9,7
Boa Esporte,20,0,25,27,6,7,14,22,35,-13,30.9,8
